Function,k,Sum,Time (ms)
Addition,100,5050,0.00011
Addition,200,20100,0.0002
Addition,300,45150,0.0003
Addition,400,80200,0.00039
Addition,500,125250,0.00048
Addition,600,180300,0.00057
Addition,700,245350,0.00067
Addition,800,320400,0.00077
Addition,900,405450,0.00086
Addition,1000,500500,0.00096
Addition,2000,2001000,0.00189
Addition,3000,4501500,0.00284
Addition,4000,8002000,0.00378
Addition,5000,12502500,0.00472
Addition,6000,18003000,0.00566
Addition,7000,24503500,0.0066
Addition,8000,32004000,0.00754
Addition,9000,40504500,0.00871
Addition,10000,50005000,0.00953
Addition,20000,200010000,0.01901
Addition,30000,450015000,0.02889
Addition,40000,800020000,0.03743
Addition,50000,1250025000,0.04773
Addition,60000,1800030000,0.05648
Addition,70000,2450035000,0.06629
Addition,80000,3200040000,0.07588
Addition,90000,4050045000,0.08518
Addition,100000,5000050000,0.09435
Addition,200000,20000100000,0.18715
Addition,300000,45000150000,0.28565
Addition,400000,80000200000,0.37797
Addition,500000,125000250000,0.47435
Addition,600000,180000300000,0.56744
Addition,700000,245000350000,0.65851
Addition,800000,320000400000,1.97523
Addition,900000,405000450000,0.84649
Formula,100,5050,1e-05
Formula,200,20100,1e-05
Formula,300,45150,1e-05
Formula,400,80200,0
Formula,500,125250,1e-05
Formula,600,180300,1e-05
Formula,700,245350,1e-05
Formula,800,320400,1e-05
Formula,900,405450,0
Formula,1000,500500,0
Formula,2000,2001000,1e-05
Formula,3000,4501500,1e-05
Formula,4000,8002000,1e-05
Formula,5000,12502500,0
Formula,6000,18003000,0
Formula,7000,24503500,1e-05
Formula,8000,32004000,0
Formula,9000,40504500,0
Formula,10000,50005000,1e-05
Formula,20000,200010000,1e-05
Formula,30000,450015000,0
Formula,40000,800020000,0
Formula,50000,1250025000,0
Formula,60000,1800030000,1e-05
Formula,70000,2450035000,1e-05
Formula,80000,3200040000,1e-05
Formula,90000,4050045000,1e-05
Formula,100000,5000050000,1e-05
Formula,200000,20000100000,1e-05
Formula,300000,45000150000,0
Formula,400000,80000200000,0
Formula,500000,125000250000,1e-05
Formula,600000,180000300000,1e-05
Formula,700000,245000350000,1e-05
Formula,800000,320000400000,1e-05
Formula,900000,405000450000,1e-05
PrintNumbers,100,,0.00528
PrintNumbers,200,,0.00943
PrintNumbers,300,,0.01277
PrintNumbers,400,,0.01674
PrintNumbers,500,,0.02126
PrintNumbers,600,,0.02618
PrintNumbers,700,,0.03095
PrintNumbers,800,,0.03402
PrintNumbers,900,,0.03931
PrintNumbers,1000,,0.04329
PrintNumbers,2000,,0.0888
PrintNumbers,3000,,0.13507
PrintNumbers,4000,,0.17335
PrintNumbers,5000,,0.21924
PrintNumbers,6000,,0.26638
PrintNumbers,7000,,0.33099
PrintNumbers,8000,,0.3555
PrintNumbers,9000,,0.41283
PrintNumbers,10000,,0.4495
PrintNumbers,20000,,0.89806
PrintNumbers,30000,,1.32178
PrintNumbers,40000,,1.7324
PrintNumbers,50000,,2.13414
PrintNumbers,60000,,2.48237
PrintNumbers,70000,,3.02087
PrintNumbers,80000,,3.40297
PrintNumbers,90000,,3.8289
PrintNumbers,100000,,5.76254
PrintNumbers,200000,,8.72511
PrintNumbers,300000,,15.0133
PrintNumbers,400000,,17.6354
PrintNumbers,500000,,24.3633
PrintNumbers,600000,,31.4463
PrintNumbers,700000,,32.4274
PrintNumbers,800000,,38.1031
PrintNumbers,900000,,42.5698
PrintPartialSums,100,,0.01998
PrintPartialSums,200,,0.02188
PrintPartialSums,300,,0.0321
PrintPartialSums,400,,0.04417
PrintPartialSums,500,,0.05551
PrintPartialSums,600,,0.06652
PrintPartialSums,700,,0.07891
PrintPartialSums,800,,0.09775
PrintPartialSums,900,,0.10411
PrintPartialSums,1000,,0.1065
PrintPartialSums,2000,,0.21281
PrintPartialSums,3000,,0.32813
PrintPartialSums,4000,,0.42748
PrintPartialSums,5000,,0.61865
PrintPartialSums,6000,,0.63863
PrintPartialSums,7000,,0.74082
PrintPartialSums,8000,,0.83535
PrintPartialSums,9000,,0.93528
PrintPartialSums,10000,,1.04689
PrintPartialSums,20000,,2.15792
PrintPartialSums,30000,,4.38192
PrintPartialSums,40000,,4.18031
PrintPartialSums,50000,,5.31955
PrintPartialSums,60000,,6.34604
PrintPartialSums,70000,,8.93578
PrintPartialSums,80000,,8.37584
PrintPartialSums,90000,,9.83795
PrintPartialSums,100000,,11.7082
PrintPartialSums,200000,,22.4331
PrintPartialSums,300000,,34.7769
PrintPartialSums,400000,,46.009
PrintPartialSums,500000,,59.5406
PrintPartialSums,600000,,72.2015
PrintPartialSums,700000,,81.5808
PrintPartialSums,800000,,90.4374
PrintPartialSums,900000,,101.21
Accumulate,100,5050,0.00065
Accumulate,200,20100,0.00124
Accumulate,300,45150,0.00185
Accumulate,400,80200,0.00244
Accumulate,500,125250,0.00305
Accumulate,600,180300,0.00364
Accumulate,700,245350,0.00426
Accumulate,800,320400,0.00486
Accumulate,900,405450,0.00546
Accumulate,1000,500500,0.00607
Accumulate,2000,2001000,0.01209
Accumulate,3000,4501500,0.01923
Accumulate,4000,8002000,0.02577
Accumulate,5000,12502500,0.03056
Accumulate,6000,18003000,0.03674
Accumulate,7000,24503500,0.04278
Accumulate,8000,32004000,0.05974
Accumulate,9000,40504500,0.0543
Accumulate,10000,50005000,0.06081
Accumulate,20000,200010000,0.12216
Accumulate,30000,450015000,0.18415
Accumulate,40000,800020000,0.24299
Accumulate,50000,1250025000,0.30805
Accumulate,60000,1800030000,0.37348
Accumulate,70000,2450035000,0.43372
Accumulate,80000,3200040000,0.49512
Accumulate,90000,4050045000,1.52728
Accumulate,100000,5000050000,0.62281
Accumulate,200000,20000100000,1.24381
Accumulate,300000,45000150000,1.84654
Accumulate,400000,80000200000,2.62055
Accumulate,500000,125000250000,3.06836
Accumulate,600000,180000300000,3.69544
Accumulate,700000,245000350000,4.32281
Accumulate,800000,320000400000,6.20922
Accumulate,900000,405000450000,5.5885
Partial_Sum,100,5050,0.00091
Partial_Sum,200,20100,0.00174
Partial_Sum,300,45150,0.00259
Partial_Sum,400,80200,0.00344
Partial_Sum,500,125250,0.00428
Partial_Sum,600,180300,0.00515
Partial_Sum,700,245350,0.00599
Partial_Sum,800,320400,0.00684
Partial_Sum,900,405450,0.00769
Partial_Sum,1000,500500,0.00855
Partial_Sum,2000,2001000,0.01706
Partial_Sum,3000,4501500,0.02575
Partial_Sum,4000,8002000,0.03462
Partial_Sum,5000,12502500,0.04273
Partial_Sum,6000,18003000,0.05107
Partial_Sum,7000,24503500,0.05973
Partial_Sum,8000,32004000,0.06877
Partial_Sum,9000,40504500,0.077
Partial_Sum,10000,50005000,0.08601
Partial_Sum,20000,200010000,0.16883
Partial_Sum,30000,450015000,0.25505
Partial_Sum,40000,800020000,0.33771
Partial_Sum,50000,1250025000,0.4256
Partial_Sum,60000,1800030000,0.51575
Partial_Sum,70000,2450035000,0.60976
Partial_Sum,80000,3200040000,0.67758
Partial_Sum,90000,4050045000,0.76538
Partial_Sum,100000,5000050000,0.84554
Partial_Sum,200000,20000100000,1.70583
Partial_Sum,300000,45000150000,2.54056
Partial_Sum,400000,80000200000,4.72804
Partial_Sum,500000,125000250000,4.36279
Partial_Sum,600000,180000300000,5.18146
Partial_Sum,700000,245000350000,5.98452
Partial_Sum,800000,320000400000,8.32838
Partial_Sum,900000,405000450000,7.78702
