n,A1,A2,A3,A4,A5,A6
1,0.0,6.665911196731037e-05,0.0,6.665911196731037e-07,6.665911196731037e-07,1.3331822393462074e-06
5,0.0015477766485714032,0.00033329555983655185,7.738883242857018e-05,1.6664777991827592e-05,8.332388995913796e-05,2.133091582953932e-05
10,0.002214367768244507,0.0006665911196731037,0.00022143677682445073,6.665911196731037e-05,0.0006665911196731037,0.0006825893065452582
25,0.0030955532971428065,0.0016664777991827592,0.0007738883242857016,0.0004166194497956898,0.010415486244892245,22.36708639687502
50,0.00376214441681591,0.0033329555983655185,0.001881072208407955,0.0016664777991827592,0.08332388995913796,750514879.5420679
100,0.004428735536489014,0.006665911196731037,0.004428735536489014,0.006665911196731037,0.6665911196731037,8.450046329604174e+23
102,0.004447779479639971,0.006799229420665658,0.00453673506923277,0.006935214009078971,0.707391828926055,3.3800185318416696e+24
103,0.00445716187310986,0.006865888532632969,0.004590876729303156,0.007071865188611958,0.7284021144270316,6.760037063683339e+24
110,0.004520394164344481,0.007332502316404141,0.004972433580778929,0.008065752548044555,0.887232780284901,8.652847441514674e+26
200,0.0050953266561621175,0.013331822393462074,0.010190653312324235,0.026663644786924148,5.3327289573848295,1.0711706301679078e+54
250,0.005309921065387314,0.016664777991827594,0.013274802663468286,0.04166194497956898,10.415486244892245,1.2060309127186022e+69
500,0.005976512185060418,0.03332955598365519,0.02988256092530209,0.16664777991827592,83.32388995913796,2.1820131104449108e+144
1000,0.006643103304733522,0.06665911196731038,0.06643103304733522,0.6665911196731037,666.5911196731037,7.142581222036618e+294
